,Segment_1,Segment_2,R1_dist,R2_dist,TSO_space
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,4
0,NS_vRNA,NS_vRNA,172,195,4
0,NA_vRNA,NA_vRNA,174,193,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,4
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,4
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,3
0,PA_vRNA,PA_vRNA,172,222,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,4
0,NA_vRNA,NA_vRNA,174,193,-1
0,NS_vRNA,NS_vRNA,172,195,15
0,NA_vRNA,NA_vRNA,174,193,-1
0,NS_vRNA,NS_vRNA,172,195,16
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PA_vRNA,PA_vRNA,172,222,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,4
0,NS_vRNA,NS_vRNA,172,195,4
0,NS_vRNA,NS_vRNA,172,195,11
0,NA_vRNA,NA_vRNA,174,193,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,16
0,NA_vRNA,NA_vRNA,174,193,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,25
0,NS_vRNA,NS_vRNA,172,195,14
0,NS_vRNA,NS_vRNA,172,195,-1
0,PA_vRNA,PA_vRNA,172,222,4
0,PB1_vRNA,PB1_vRNA,175,209,4
0,NA_vRNA,NA_vRNA,174,193,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,13
0,NS_vRNA,NS_vRNA,172,195,4
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,PB2_vRNA,PB2_vRNA,173,207,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,PB2_vRNA,PB2_vRNA,173,206,3
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,16
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,26
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,4
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NA_vRNA,NA_vRNA,174,193,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,16
0,NS_vRNA,NS_vRNA,172,195,17
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,4
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NA_vRNA,NA_vRNA,174,193,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,16
0,NA_vRNA,NA_vRNA,174,193,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,13
0,NS_vRNA,NS_vRNA,172,195,4
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,16
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB2_vRNA,PB2_vRNA,173,206,4
0,NS_vRNA,NS_vRNA,172,195,18
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,PB2_vRNA,PB2_vRNA,173,206,4
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,PB2_vRNA,PB2_vRNA,173,206,4
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,4
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,14
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,3
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,16
0,PB2_vRNA,PB2_vRNA,173,206,4
0,NS_vRNA,NS_vRNA,172,195,14
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,174,209,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,4
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,14
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,PB1_vRNA,PB1_vRNA,175,209,4
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB2_vRNA,PB2_vRNA,173,206,4
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,NS_vRNA,NS_vRNA,172,195,13
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PA_vRNA,PA_vRNA,172,222,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,4
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,12
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,18
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NA_vRNA,NA_vRNA,174,193,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,14
0,NS_vRNA,NS_vRNA,172,195,-1
0,PA_vRNA,PA_vRNA,172,222,-1
0,NA_vRNA,NA_vRNA,174,193,-1
0,NS_vRNA,NS_vRNA,172,195,21
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,4
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,208,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,4
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NA_vRNA,NA_vRNA,174,193,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NA_vRNA,NA_vRNA,174,193,-1
0,NS_vRNA,NS_vRNA,172,195,16
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NA_vRNA,NA_vRNA,174,193,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,4
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,NS_vRNA,NS_vRNA,172,195,15
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PA_vRNA,PA_vRNA,172,222,13
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PA_vRNA,PA_vRNA,172,222,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,4
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,16
0,NS_vRNA,NS_vRNA,172,195,16
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NA_vRNA,NA_vRNA,174,193,-1
0,NA_vRNA,NA_vRNA,174,193,-1
0,PB2_vRNA,PB2_vRNA,173,206,4
0,NS_vRNA,NS_vRNA,172,195,14
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,208,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,4
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,18
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,9
0,PA_vRNA,PA_vRNA,172,222,27
0,PB1_vRNA,PB1_vRNA,175,209,4
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,13
0,NS_vRNA,NS_vRNA,172,195,13
0,NS_vRNA,NS_vRNA,172,195,16
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,12
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NA_vRNA,NA_vRNA,174,193,-1
0,NS_vRNA,NS_vRNA,172,195,16
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,PB1_vRNA,PB1_vRNA,175,209,27
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB2_vRNA,PB2_vRNA,173,206,4
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,194,-1
0,NS_vRNA,NS_vRNA,172,195,4
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PA_vRNA,PA_vRNA,172,221,4
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,3
0,NS_vRNA,NS_vRNA,172,195,17
0,PB1_vRNA,PB1_vRNA,175,209,23
0,NS_vRNA,NS_vRNA,172,195,16
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,4
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NA_vRNA,NA_vRNA,174,193,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,NS_vRNA,NS_vRNA,172,195,4
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NA_vRNA,NA_vRNA,174,193,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,14
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,16
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,4
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,4
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,4
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,4
0,PB1_vRNA,PB1_vRNA,175,209,4
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,NA_vRNA,NA_vRNA,174,193,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,15
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB2_vRNA,PB2_vRNA,173,206,4
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,4
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,15
0,NS_vRNA,NS_vRNA,172,195,14
0,PA_vRNA,PA_vRNA,172,222,4
0,PB2_vRNA,PB2_vRNA,173,206,3
0,PB1_vRNA,PB1_vRNA,175,209,49
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NA_vRNA,NA_vRNA,174,193,-1
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,4
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NA_vRNA,NA_vRNA,174,193,-1
0,NS_vRNA,NS_vRNA,172,195,14
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,13
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,PB1_vRNA,PB1_vRNA,175,209,4
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,4
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,16
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,17
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,18
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NA_vRNA,NA_vRNA,174,193,-1
0,HA_vRNA,HA_vRNA,174,240,15
0,PB1_vRNA,PB1_vRNA,175,209,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,NS_vRNA,NS_vRNA,172,195,-1
0,PB2_vRNA,PB2_vRNA,173,206,-1
0,NS_vRNA,NS_vRNA,172,195,4
0,PB1_vRNA,PB1_vRNA,175,209,-1
